[SECTORS]
# id  firstWall  wallCount  zfloor  zceil   tfloor  tceil   lightLevel
1     0          12         0.0     3.0     2       1       0.5
2     12         4          0.5     2.5     2       3       0.7
3     16         4         -0.5     3.0     2       5       0.3
4     20         4          1.0     4.0     2       7       0.1
5     24         4          0.0     1.5     2       1       0.9
6     28         4          1.0     2.0     2       3       1.0

[WALLS]
# SECTOR 1 (Main Hub - Spawn Point)
# ax  ay  bx  by  portal    tex
-3  3 -1  3  0  0
-1  3  1  3  2  1
 1  3  3  3  0  2
 3  3  3  1  0  3
 3  1  3 -1  3  4
 3 -1  3 -3  0  5
 3 -3  1 -3  0  6
 1 -3 -1 -3  4  7
-1 -3 -3 -3  0  0
-3 -3 -3 -1  0  1
-3 -1 -3  1  5  2
-3  1 -3  3  0  3

# SECTOR 2 (North Hall - Step Up)
-1  7  1  7  6  4
 1  7  1  3  0  5
 1  3 -1  3  1  6
-1  3 -1  7  0  7

# SECTOR 3 (East Pit - Step Down)
 3  1  7  1  0  0
 7  1  7 -1  0  1
 7 -1  3 -1  0  2
 3 -1  3  1  1  3

# SECTOR 4 (South Platform - High Jump)
-1 -3  1 -3  1  4
 1 -3  1 -7  0  5
 1 -7 -1 -7  0  6
-1 -7 -1 -3  0  7

# SECTOR 5 (West Corridor - Low Ceiling)
-7  1 -3  1  0  0
-3  1 -3 -1  1  1
-3 -1 -7 -1  0  2
-7 -1 -7  1  0  3

# SECTOR 6 (Deep North Room - Multi-Depth Portal Test)
-1 11  1 11  0  4
 1 11  1  7  0  5
 1  7 -1  7  2  6
-1  7 -1 11  0  7
